170,TRANSFER,2015-06-01 10:41:24.035,2015-06-01 11:34:12.035,2015-06-01 11:37:12.035
171,LOAN,2015-06-01 10:42:00.035,2015-06-01 11:36:36.035,2015-06-01 11:39:36.035
172,WIRE,2015-06-01 10:42:36.035,2015-06-01 11:37:12.035,2015-06-01 11:40:12.035
173,TRANSFER,2015-06-01 10:43:12.035,2015-06-01 11:38:24.035,2015-06-01 11:50:24.035
174,BALANCE,2015-06-01 10:43:48.035,2015-06-01 11:39:00.035,2015-06-01 11:51:00.035
175,ATM,2015-06-01 10:44:24.035,2015-06-01 11:39:36.035,2015-06-01 11:42:36.035
176,TRANSFER,2015-06-01 10:45:00.035,2015-06-01 11:40:12.035,2015-06-01 11:43:12.035
177,BALANCE,2015-06-01 10:45:36.035,2015-06-01 11:41:12.035,2015-06-01 11:49:12.035
178,CHECK,2015-06-01 10:46:12.035,2015-06-01 11:41:48.035,2015-06-01 11:49:48.035
179,TRANSFER,2015-06-01 10:46:48.035,2015-06-01 11:42:36.035,2015-06-01 11:45:36.035
180,LOAN,2015-06-01 10:47:24.035,2015-06-01 11:43:12.035,2015-06-01 11:46:12.035
181,LOAN,2015-06-01 10:48:00.035,2015-06-01 11:45:36.035,2015-06-01 11:48:36.035
182,WIRE,2015-06-01 10:48:36.035,2015-06-01 11:46:12.035,2015-06-01 11:49:12.035
183,TRANSFER,2015-06-01 10:49:12.035,2015-06-01 11:48:36.035,2015-06-01 11:51:36.035
184,LOAN,2015-06-01 10:49:48.035,2015-06-01 11:49:12.035,2015-06-01 11:52:12.035
185,OPEN,2015-06-01 10:50:24.035,2015-06-01 11:49:12.035,2015-06-01 11:57:12.035
186,ATM,2015-06-01 10:51:00.035,2015-06-01 11:49:48.035,2015-06-01 11:57:48.035
187,TRANSFER,2015-06-01 10:51:36.035,2015-06-01 11:50:24.035,2015-06-01 12:02:24.035
188,TRANSFER,2015-06-01 10:52:12.035,2015-06-01 11:51:00.035,2015-06-01 12:03:00.035
189,WITHDRAW,2015-06-01 10:52:48.035,2015-06-01 11:51:36.035,2015-06-01 11:54:36.035
190,BALANCE,2015-06-01 10:53:24.035,2015-06-01 11:52:12.035,2015-06-01 11:55:12.035
191,DEPOSIT,2015-06-01 10:54:00.035,2015-06-01 11:54:36.035,2015-06-01 11:57:36.035
192,LOAN,2015-06-01 10:54:36.035,2015-06-01 11:55:12.035,2015-06-01 11:58:12.035
193,OPEN,2015-06-01 10:55:12.035,2015-06-01 11:57:12.035,2015-06-01 12:05:12.035
194,WIRE,2015-06-01 10:55:48.035,2015-06-01 11:57:36.035,2015-06-01 12:00:36.035
195,TRANSFER,2015-06-01 10:56:24.035,2015-06-01 11:57:48.035,2015-06-01 12:05:48.035
196,DEPOSIT,2015-06-01 10:57:00.035,2015-06-01 11:58:12.035,2015-06-01 12:01:12.035
197,WIRE,2015-06-01 10:57:36.035,2015-06-01 12:00:36.035,2015-06-01 12:03:36.035
198,WIRE,2015-06-01 10:58:12.035,2015-06-01 12:01:12.035,2015-06-01 12:04:12.035
199,ATM,2015-06-01 10:58:48.035,2015-06-01 12:02:24.035,2015-06-01 12:14:24.035
200,BALANCE,2015-06-01 10:59:24.035,2015-06-01 12:03:00.035,2015-06-01 12:15:00.035
201,BALANCE,2015-06-01 11:00:00.035,2015-06-01 12:03:36.035,2015-06-01 12:06:36.035
202,WITHDRAW,2015-06-01 11:00:36.035,2015-06-01 12:04:12.035,2015-06-01 12:07:12.035
203,DEPOSIT,2015-06-01 11:01:12.035,2015-06-01 12:05:12.035,2015-06-01 12:13:12.035
204,BALANCE,2015-06-01 11:01:48.035,2015-06-01 12:05:48.035,2015-06-01 12:13:48.035
205,CHECK,2015-06-01 11:02:24.035,2015-06-01 12:06:36.035,2015-06-01 12:09:36.035
206,CHECK,2015-06-01 11:03:00.035,2015-06-01 12:07:12.035,2015-06-01 12:10:12.035
207,WIRE,2015-06-01 11:03:36.035,2015-06-01 12:09:36.035,2015-06-01 12:12:36.035
208,CHECK,2015-06-01 11:04:12.035,2015-06-01 12:10:12.035,2015-06-01 12:13:12.035
209,WITHDRAW,2015-06-01 11:04:48.035,2015-06-01 12:12:36.035,2015-06-01 12:15:36.035
210,BALANCE,2015-06-01 11:05:24.035,2015-06-01 12:13:12.035,2015-06-01 12:16:12.035
211,DEPOSIT,2015-06-01 11:06:00.035,2015-06-01 12:13:12.035,2015-06-01 12:21:12.035
212,CHECK,2015-06-01 11:06:36.035,2015-06-01 12:13:48.035,2015-06-01 12:21:48.035
213,OPEN,2015-06-01 11:07:12.035,2015-06-01 12:14:24.035,2015-06-01 12:26:24.035
214,LOAN,2015-06-01 11:07:48.035,2015-06-01 12:15:00.035,2015-06-01 12:27:00.035
215,CHECK,2015-06-01 11:08:24.035,2015-06-01 12:15:36.035,2015-06-01 12:18:36.035
216,OPEN,2015-06-01 11:09:00.035,2015-06-01 12:16:12.035,2015-06-01 12:19:12.035
217,ATM,2015-06-01 11:09:36.035,2015-06-01 12:18:36.035,2015-06-01 12:21:36.035
218,ATM,2015-06-01 11:10:12.035,2015-06-01 12:19:12.035,2015-06-01 12:22:12.035
219,ATM,2015-06-01 11:10:48.035,2015-06-01 12:21:12.035,2015-06-01 12:29:12.035
220,TRANSFER,2015-06-01 11:11:24.035,2015-06-01 12:21:36.035,2015-06-01 12:24:36.035
221,DEPOSIT,2015-06-01 11:12:00.035,2015-06-01 12:21:48.035,2015-06-01 12:29:48.035
222,BALANCE,2015-06-01 11:12:36.035,2015-06-01 12:22:12.035,2015-06-01 12:25:12.035
223,WITHDRAW,2015-06-01 11:13:12.035,2015-06-01 12:24:36.035,2015-06-01 12:27:36.035
224,ATM,2015-06-01 11:13:48.035,2015-06-01 12:25:12.035,2015-06-01 12:28:12.035
225,DEPOSIT,2015-06-01 11:14:24.035,2015-06-01 12:26:24.035,2015-06-01 12:38:24.035
226,CHECK,2015-06-01 11:15:00.035,2015-06-01 12:27:00.035,2015-06-01 12:39:00.035
227,WITHDRAW,2015-06-01 11:15:36.035,2015-06-01 12:27:36.035,2015-06-01 12:30:36.035
228,WITHDRAW,2015-06-01 11:16:12.035,2015-06-01 12:28:12.035,2015-06-01 12:31:12.035
229,LOAN,2015-06-01 11:16:48.035,2015-06-01 12:29:12.035,2015-06-01 12:37:12.035
230,ATM,2015-06-01 11:17:24.035,2015-06-01 12:29:48.035,2015-06-01 12:37:48.035
231,OPEN,2015-06-01 11:18:00.035,2015-06-01 12:30:36.035,2015-06-01 12:33:36.035
232,OPEN,2015-06-01 11:18:36.035,2015-06-01 12:31:12.035,2015-06-01 12:34:12.035
233,ATM,2015-06-01 11:19:12.035,2015-06-01 12:33:36.035,2015-06-01 12:36:36.035
234,TRANSFER,2015-06-01 11:19:48.035,2015-06-01 12:34:12.035,2015-06-01 12:37:12.035
235,TRANSFER,2015-06-01 11:20:24.035,2015-06-01 12:36:36.035,2015-06-01 12:39:36.035
236,DEPOSIT,2015-06-01 11:21:00.035,2015-06-01 12:37:12.035,2015-06-01 12:40:12.035
237,WITHDRAW,2015-06-01 11:21:36.035,2015-06-01 12:37:12.035,2015-06-01 12:45:12.035
238,CHECK,2015-06-01 11:22:12.035,2015-06-01 12:37:48.035,2015-06-01 12:45:48.035
239,DEPOSIT,2015-06-01 11:22:48.035,2015-06-01 12:38:24.035,2015-06-01 12:50:24.035
240,BALANCE,2015-06-01 11:23:24.035,2015-06-01 12:39:00.035,2015-06-01 12:51:00.035
241,TRANSFER,2015-06-01 11:24:00.035,2015-06-01 12:39:36.035,2015-06-01 12:42:36.035
242,WIRE,2015-06-01 11:24:36.035,2015-06-01 12:40:12.035,2015-06-01 12:43:12.035
243,OPEN,2015-06-01 11:25:12.035,2015-06-01 12:42:36.035,2015-06-01 12:45:36.035
244,CHECK,2015-06-01 11:25:48.035,2015-06-01 12:43:12.035,2015-06-01 12:46:12.035
245,LOAN,2015-06-01 11:26:24.035,2015-06-01 12:45:12.035,2015-06-01 12:53:12.035
246,DEPOSIT,2015-06-01 11:27:00.035,2015-06-01 12:45:36.035,2015-06-01 12:48:36.035
247,CHECK,2015-06-01 11:27:36.035,2015-06-01 12:45:48.035,2015-06-01 12:53:48.035
248,ATM,2015-06-01 11:28:12.035,2015-06-01 12:46:12.035,2015-06-01 12:49:12.035
249,CHECK,2015-06-01 11:28:48.035,2015-06-01 12:48:36.035,2015-06-01 12:51:36.035
250,ATM,2015-06-01 11:29:24.035,2015-06-01 12:49:12.035,2015-06-01 12:52:12.035
251,TRANSFER,2015-06-01 11:30:00.035,2015-06-01 12:50:24.035,2015-06-01 13:02:24.035
252,ATM,2015-06-01 11:30:36.035,2015-06-01 12:51:00.035,2015-06-01 13:03:00.035
253,LOAN,2015-06-01 11:31:12.035,2015-06-01 12:51:36.035,2015-06-01 12:54:36.035
254,WIRE,2015-06-01 11:31:48.035,2015-06-01 12:52:12.035,2015-06-01 12:55:12.035
255,WIRE,2015-06-01 11:32:24.035,2015-06-01 12:53:12.035,2015-06-01 13:01:12.035
256,WIRE,2015-06-01 11:33:00.035,2015-06-01 12:53:48.035,2015-06-01 13:01:48.035
257,ATM,2015-06-01 11:33:36.035,2015-06-01 12:54:36.035,2015-06-01 12:57:36.035
258,BALANCE,2015-06-01 11:34:12.035,2015-06-01 12:55:12.035,2015-06-01 12:58:12.035
